occurrenceID,basisOfRecord,scientificName,eventDate,class_,decimalLongitude,vernacularName,locality,phylum,kingdom,geodeticDatum,scientificNameAuthorship,occurrenceRemarks,family,countryCode,genus,taxonID,specificEpithet,decimalLatitude,eventID,taxonRank,order,individualCount
2020-10-10T13:50:54.507883,Human Observation,Myadestes melanops,1602346200000,Aves,-83.40005,Jilguero,RC-02 Santa Rosa,Chordata,Animalia,EPSG:4326,"Salvin, 1865","sona alta,finca Martínez romero",Turdidae,CR,Myadestes,000024,melanops,9.257895,2020-10-10T13:50:26.499356,species,Passeriformes,1
2020-10-10T13:50:54.801115,Human Observation,Trogon collaris,1602346200000,Aves,-83.40005,Trogón collarejo,RC-02 Santa Rosa,Chordata,Animalia,EPSG:4326,"Vieillot, 1817","sona alta,finca Martínez romero",Trogonidae,CR,Trogon,000022,collaris,9.257895,2020-10-10T13:50:24.062774,species,Trogoniformes,1
2020-10-10T13:50:54.872540,Human Observation,Trogon collaris,1602346200000,Aves,-83.40005,Trogón collarejo,RC-02 Santa Rosa,Chordata,Animalia,EPSG:4326,"Vieillot, 1817","sona alta,finca Martínez romero",Trogonidae,CR,Trogon,000022,collaris,9.257895,2020-10-10T13:50:26.499356,species,Trogoniformes,1
2020-10-10T18:10:16.589740,Human Observation,Cebus imitator,1601222760000,Mammalia,-83.021544,Mono cara blanca,"Hamacas, Aguacaliente, Pittier",Chordata,Animalia,EPSG:4326,"Thomas, 1903",Bosque de galería. Un individuo no tenía rabo,Cebidae,CR,Cebus,000013,imitator,8.976707,0,species,Primates,10
2020-09-30T08:47:42.030599,Human Observation,Panthera onca,1601467920000,Mammalia,-83.394459,Jaguar,Santa Rosa Brunka,Chordata,Animalia,EPSG:4326,"(Linnaeus, 1758)",Huella encontrada,Felidae,CR,Panthera,000001,onca,9.255012,0,species,Carnivora,1
2020-09-30T08:47:44.010141,Human Observation,Penelope purpurascens,1601467920000,Aves,-83.394459,Pava granadera,Santa Rosa Brunka,Chordata,Animalia,EPSG:4326,"Wagler, 1830",,Cracidae,CR,Penelope,000029,purpurascens,9.255012,0,species,Galliformes,1
2020-09-30T08:50:24.377701,Human Observation,Ortalis cinereiceps,1601467920000,Aves,-83.394389,"Pajuila, chachalaca cabecigrís",Santa Rosa Brunka ,Chordata,Animalia,EPSG:4326,"G.R.Gray, 1867",,Cracidae,CR,Ortalis,000030,cinereiceps,9.255183,0,species,Galliformes,5
2020-09-30T17:00:03.834121,Human Observation,Tinamus major,1601467920000,Aves,-83.394515,"Gallina de monte, tinamú grande",Santa Rosa Brunka,Chordata,Animalia,EPSG:4326,"(J.F.Gmelin, 1789)",,Tinamidae,CR,Tinamus,000025,major,9.254889,0,species,Tinamiformes,1
2020-10-09T08:12:39.314076,Human Observation,Tinamus major,1602252660000,Aves,-83.391176,"Gallina de monte, tinamú grande",Santa rosa,Chordata,Animalia,EPSG:4326,"(J.F.Gmelin, 1789)",,Tinamidae,CR,Tinamus,000025,major,9.260899,0,species,Tinamiformes,1
2020-09-05T08:18:32.078584,Human Observation,Dasyprocta punctata,1599312300000,Mammalia,-83.845292,"Cherenga, guatusa",SA-01 Savegre Abajo,Chordata,Animalia,,"Gray, 1842",,Dasyproctidae,CR,Dasyprocta,000015,punctata,9.431213,2020-09-05T07:30:13.101152,species,Rodentia,1
