Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S64565279,Tinamú Chico,Crypturellus soui,56,1,CR-P,,L10743657,"Fila Naranjo. Provincia de Puntarenas, CR (8,921, -82,957)",8.9213999,-82.9574246,2020-02-13,02:41 PM,eBird - Traveling Count,154,1,2.87,,10
S61777607,Tinamú Chico,Crypturellus soui,56,1,CR-SJ,,L10202342,"Finca Esteban San José, CR (9,43, -83,843)",9.4301182,-83.843359,2019-11-26,02:40 PM,eBird - Traveling Count,72,1,1.01,,1
S69420795,Tinamú Chico,Crypturellus soui,56,1,CR-SJ,,L11455225,Floristeria Bonnysu,9.3813434,-83.733201,2020-04-26,06:09 AM,eBird - Traveling Count,180,1,.25,,2
S69974107,Tinamú Chico,Crypturellus soui,56,1,CR-SJ,,L11455225,Floristeria Bonnysu,9.3813434,-83.733201,2020-05-23,07:12 AM,eBird - Traveling Count,300,1,5,,2
S62465791,Tinamú Chico,Crypturellus soui,56,1,CR-P,,L10318131,"La Luchita 20 dic. 2019 9:31  9,09, -83,119",9.0899564,-83.1188256,2019-12-20,08:57 AM,eBird - Stationary Count,32,1,,,7
S62448447,Tinamú Chico,Crypturellus soui,56,1,CR-SJ,,L5082706,PN Chirripó -- Entrance to the park trail,9.4693282,-83.5846522,2019-10-05,06:15 AM,eBird - Traveling Count,524,1,8.05,,5,,Único visto
S64266633,Tinamú Chico,Crypturellus soui,56,2,CR-P,,L10709347,"Pilón De Chánguena, Provincia de Puntarenas, CR (8,906, -83,175)",8.9061029,-83.1750237,2020-02-06,05:36 AM,eBird - Traveling Count,206,1,2,,5
S70394253,Tinamú Chico,Crypturellus soui,56,2,CR-SJ,,L9657857,"Ruta 242 San Gerardo, Rivas, San José, CR (9,463, -83,6)",9.4633819,-83.5998976,2020-06-11,08:07 AM,eBird - Stationary Count,13,1,,,1
S68759220,Tinamú Chico,Crypturellus soui,56,1,CR-SJ,,L10174042,"Ruta 242 San Gerardo, Rivas, San José, CR (9,464, -83,601)",9.463743,-83.6012628,2020-05-09,03:50 PM,eBird - Stationary Count,187,1,,,1
S60756842,Tinamú Chico,Crypturellus soui,56,1,CR-P,,L10052622,"Sendero APROCOME, Provincia de Puntarenas, CR (9,277, -83,461)",9.2766361,-83.4607523,2019-10-12,06:00 AM,eBird - Traveling Count,120,1,2,,3
S68883424,Tinamú Chico,Crypturellus soui,56,1,CR-P,,L11267000,"Sendero Finca Los Colibries Provincia de Puntarenas, CR (9.122, -83.066)",9.1223196,-83.0660069,2020-05-08,01:59 PM,eBird - Traveling Count,70,1,.3,,4
S68886237,Tinamú Chico,Crypturellus soui,56,2,CR-P,,L11267000,"Sendero Finca Los Colibries Provincia de Puntarenas, CR (9.122, -83.066)",9.1223196,-83.0660069,2020-05-09,12:37 PM,eBird - Traveling Count,360,1,2,,4
S60026428,Tinamú Chico,Crypturellus soui,56,1,CR-P,,L9947579,"Tres Colinas, Provincia de Puntarenas, CR (9,12, -83,068)",9.11981,-83.0683574,2019-09-22,06:11 AM,eBird - Traveling Count,120,1,2,,1
S69144769,Tinamú Chico,Crypturellus soui,56,1,CR-SJ,,L11000752,"Villa Nueva, Bonnysu, San José, CR (9.382, -83.735)",9.3819957,-83.7348891,2020-05-16,06:52 AM,eBird - Traveling Count,166,1,2.12,,2,,Escuchado
S65273542,Pijije Canelo,Dendrocygna bicolor,225,1,CR-SJ,,L10872042,Sendero Cerró Ena,9.343678,-83.5040421,2020-02-29,06:31 AM,eBird - Traveling Count,211,1,3,,1,,Obserbado
S68752875,Pato Real,Cairina moschata,388,1,CR-A,,L11396445,"San Jerónimo, San Pedro, Perez Zeledon",9.9763446,-84.1920877,2020-05-09,07:03 AM,eBird - Stationary Count,3,1,,,1
S67922778,Cerceta Aliazul,Spatula discors,422,1,CR-P,,L11267000,"Sendero Finca Los Colibries Provincia de Puntarenas, CR (9.122, -83.066)",9.1223196,-83.0660069,2020-03-04,05:09 PM,eBird - Traveling Count,60,1,.78,,2
S67922778,Pato Cuchara,Spatula clypeata,434,1,CR-P,,L11267000,"Sendero Finca Los Colibries Provincia de Puntarenas, CR (9.122, -83.066)",9.1223196,-83.0660069,2020-03-04,05:09 PM,eBird - Traveling Count,60,1,.78,,2
